code,name
483018,深港通工业R（港币）
399650,中小治理
483002,内地100R(港币)
399997,中证白酒
470032,深指ESG增强R
399623,中小基础
983044,深港通电脑硬件（港币）
970058,深证民企治理
399996,智能家居
399409,小盘高贝
399674,深A医药
399624,中创400
483017,深港通工业R
399412,国证新能
399687,深成信息
483044,深港通电脑硬件R（港币）
399611,中创100R
987013,港股大盘（人民币）
399625,中创500
483043,深港通电脑硬件R
983043,深港通电脑硬件
399602,中小成长
399322,国证治理
399630,1000成长
989004,新华优选价值50
399088,深创100
399641,深证新兴
399612,中创100
983069,深港通工业品
399620,深证信息
983070,深港通工业品（港币）
470053,深证数据要素R
399258,绿色低碳
399629,700价值
983008,深港通100(港币)
970032,深指ESG增强
983018,深港通工业（港币）
987017,港股通红利低波（人民币）
987016,港股通红利低波
470029,深指ESG领先R
983017,深港通工业
399297,新浪100
980150,单项冠军
399642,中小新兴
399282,大数据50
480027,新能源电池R
480004,湾区综指R(港币)
970039,创新材料
983104,内地医疗器械(港币)
983007,深港通100
987003,港股通50
399269,创质量
970029,深指ESG领先
480012,湾区服务R(港币)
399294,中小创Q
987004,港股通50（人民币）
399653,深证龙头
483104,内地医疗器械R(港币)
483103,内地医疗器械R
980012,湾区服务(港币)
480039,深圳高新R（港币）
480150,单项冠军R
980027,新能源电池
480038,深圳高新R
480003,湾区综指R
983103,内地医疗器械
480011,湾区服务R
470039,创新材料R
399352,深企综指
970074,深证智能穿戴
470030,100ESG领先R
980011,湾区服务
970053,深证数据要素
483086,深港通节能R(港币)
480008,湾区新兴R(港币)
399664,中小高贝
483028,深港通信息技术R（港币）
983092,深港通50（港币）
983028,深港通信息技术（港币）
483027,深港通信息技术R
983027,深港通信息技术
480071,机器人龙头R
483085,深港通节能R
980049,国证酒指
980004,湾区综指(港币)
983091,深港通50
480007,湾区新兴R
399237,运输指数
483077,深港通运输R
483078,深港通运输R（港币）
980003,湾区综指
399970,移动互联
970030,100ESG领先
983001,内地100
480033,自主科技R
983002,内地100(港币)
480002,湾创100R(港币)
470074,深证智能穿戴R
989007,新华SHS新兴消费(港币)
480001,湾创100R
483054,深港通非银R（港币）
989006,新华SHS新兴消费
399987,中证酒
983054,深港通非银（港币）
983053,深港通非银
399606,创业板R
470054,深证智能电网R
399415,I100
980007,湾区新兴
980002,湾创100(港币)
983078,深港通运输（港币）
983077,深港通运输
980039,深圳高新（港币）
480037,创新龙头R（港币）
399356,珠三角
483053,深港通非银R
399667,创业成长
470040,创业高装R
980008,湾区新兴(港币)
399615,深证工业
480009,湾区制造R
980001,湾创100
470006,创业板R(港币)(CNH)
480010,湾区制造R(港币)
399932,中证消费
980038,深圳高新
399360,新硬件
399339,深证科技
399677,深互联EW
480036,创新龙头R
471004,创业板战略科技R
399012,创业300
399697,中关村60
470007,创业板R(美元)(CNH)
970006,创业板指(港币)(CNH)
970007,创业板指(美元)(CNH)
480055,规模因子R
399405,大盘高贝
980037,创新龙头（港币）
399050,创新引擎
399608,科技100
399346,深证成长
980055,规模因子
980032,新能电池
470057,深证民企50R
980036,创新龙头
399397,国证文化
970054,深证智能电网
480032,新能电池R
399553,央视回报
399616,深证可选
980033,自主科技
980010,湾区制造(港币)
399976,CS新能车
987001,港股50
399640,创业基础
980009,湾区制造
489013,稀土产业链R
470059,深证民企科技R
970069,深证绿色制造
399236,批零指数
399277,公共健康
970036,深证储能
970057,深证民企50
399283,机器人50
987008,港股通科技
470069,深证绿色制造R
987002,港股50（人民币）
399682,深成工业
399351,创新示范
971004,创业板战略科技
970063,深证回购
470036,深证储能R
399296,创成长
399655,深证绩效
399016,深证创新
399385,1000消费
399626,中创成长
399670,深周期50
470063,深证回购R
399619,深证金融
399557,央视文化
399384,1000可选
399239,IT指数
399812,养老产业
989013,稀土产业链
980071,机器人龙头
970059,深证民企科技
470068,创业专利R
399638,深证环保
483048,深港通网络软件R（港币）
399809,保险主题
483047,深港通网络软件R
399017,SME创新
470050,深证卫星导航R
399643,创业新兴
480077,充电设施R
983048,深港通网络软件（港币）
970050,深证卫星导航
399654,深证文化
970040,创业高装
483003,内地科技50R
983047,深港通网络软件
983004,内地科技50(港币)
483004,内地科技50R(港币)
983086,深港通节能(港币)
970068,创业专利
983085,深港通节能
483020,深港通可选消费R（港币）
480016,医疗健康R
399675,深互联网
983003,内地科技50
470075,深证AIGCR
983020,深港通可选消费（港币）
970075,深证AIGC
399018,创业创新
483019,深港通可选消费R
987006,港股科技
983019,深港通可选消费
399806,环境治理
487006,港股科技R
980016,医疗健康
483035,深港通医疗R
470046,深证XR R
470056,深证民企ESGR
487007,港股科技R（人民币）
983036,深港通医疗（港币）
483036,深港通医疗R（港币）
987007,港股科技（人民币）
399240,金融指数
983035,深港通医疗
970046,深证XR
983010,深港通手机产业链(港币)
399394,国证医药
399291,创精选88
983009,深港通手机产业链
483010,深港通手机产业链R(港币)
399259,创业低碳
399933,中证医药
399686,深成金融
483009,深港通手机产业链R
399398,绩效指数
399286,区块链50
483160,低碳科技R
399386,1000医药
483161,低碳科技R(港币)
399281,电子50
970056,深证民企ESG
980077,充电设施
983160,低碳科技
983161,低碳科技(港币)
399417,新能源车
470034,创指ESG增强R
470038,生物经济R
399685,深成医药
470028,创指ESGR
399618,深证医药
399242,商务指数
399692,创业低波
399647,深医药50
970028,创指ESG
399434,数字传媒
980076,通用航空
480076,通用航空R
399971,中证传媒
483106,内地消费电子R(港币)
983106,内地消费电子(港币)
399266,创新能源
983105,内地消费电子
970038,生物经济
970034,创指ESG增强
480019,湾区海洋R
980020,湾区海洋(港币)
399396,国证食品
480020,湾区海洋R(港币)
980019,湾区海洋
483105,内地消费电子R
399913,300 医药
399361,在线消费
399993,CSWD生科
470031,创指ESG领先R
399420,国证保证
970031,创指ESG领先
470061,深证ESG价值R
483046,深港通消费服务R（港币）
483045,深港通消费服务R
483042,深港通服装纺织R（港币）
483041,深港通服装纺织R
983041,深港通服装纺织
983042,深港通服装纺织（港币）
983046,深港通消费服务（港币）
399975,证券公司
980022,机器人产业
399707,CSSW证券
399966,800非银
983045,深港通消费服务
480034,工业软件R
483088,深港通新能源车R(港币)
480075,数字交通R
399295,创价值
483087,深港通新能源车R
399030,碳科技30
399432,智能汽车
489011,青岛50R
399276,创科技
399248,文化指数
970061,深证ESG价值
980075,数字交通
399437,证券龙头
983088,深港通新能源车(港币)
399810,CSSW传媒
983087,深港通新能源车
470049,深证数字交通R
470047,数字文化R
989011,青岛50
970049,深证数字交通
399989,中证医疗
970047,数字文化
399678,深次新股
399668,创业板V
399264,创业软件
980034,工业软件
983074,深港通零售（港币）
399441,生物医药
983073,深港通零售
483074,深港通零售R（港币）
470041,创新消费R
483073,深港通零售R
970041,创新消费
399243,科研指数
399699,金融科技
483040,深港通汽车R（港币）
983040,深港通汽车（港币）
483039,深港通汽车R
983039,深港通汽车
483038,深港通食品零售R（港币）
483037,深港通食品零售R
983037,深港通食品零售
983038,深港通食品零售（港币）
480015,疫苗生科R
399805,互联金融
980015,疫苗生科
399804,中证体育
988201,湾创100R
988107,创业板R(美元)(CNH)
988106,创业板R(港币)(CNH)
988007,创业板指(美元)(CNH)
988006,创业板指(港币)(CNH)
489012,能源转型升级R
489010,长三角崛起城市R
489005,新华资源保障R
489003,新华精选成长50R
489002,新华区块链R
395099,总 成 交
395041,股票权证
395034,ABS
395033,债券现货
395032,债券回购
395015,REITS
395013,ＥＴＦｓ
395012,ＬＯＦｓ
395011,封闭基金
395006,创业板DR
395005,主板DR
395004,创业板
395002,主板Ｂ股
395001,主板Ａ股
931787,港股创新药
931250,港股通创新药
930965,港股通医药C
930975,港股通医药CCNY
CESHKB,中华香港生物科技
931238,SSH黄金股票
931892,有色矿业
H11031,AMAC采矿
H11059,工业有色
H30031,800有色
H50002,180材料
H50014,沪中部
930708,中证有色
H30047,AMAC木材
H11030,AMAC农林
H11057,石化产业
931271,通信设备主题
H11042,AMAC建筑
932078,全指材料行业
H30059,AMAC有色
932069,港股通医疗主题
930608,中证基建
931778,农牧主题
H50001,180能源
931248,油气资源
931009,建筑材料
H30251,500原料
932037,央企现代能源
931160,通信设备
932049,国新港股通央企综指
H30053,AMAC化学
931581,周期稳健成长50
H50011,沪环渤海
932077,全指能源行业
H50034,沪城基建
931722,国新港股通央企红利
H30049,AMAC造纸
931752,工程机械主题
H30198,油气产业
H50010,180公用
H50003,180工业
930632,CS稀金属
H50022,沪材料红
932335,香港红利净收益
000861,央企创新
931233,港股通央企红利
931144,通信技术
H11041,AMAC公用
H30052,AMAC石化
H50023,沪工业红
930662,CS现代农
930910,农牧渔
931823,国资央企50
H30359,转型成长
931994,电网设备主题
930606,中证钢铁
H30022,800银行
930839,港股通高息精选
H50052,上国改革
000859,国企一带一路
931079,5G通信
932039,央企股东回报
H30199,电力指数
931039,银行AH
H30056,AMAC橡胶
931231,央企红利50
931897,绿色电力
930707,中证畜牧
H50027,沪金融红
932004,国新央企综指
931580,SHS游戏传媒
930723,沪港深F100
931157,SHS红利成长LV
931469,云计算50
H30366,高息策略
H30058,AMAC钢铁
932366,300现金流
930734,360互联+
932086,全指公用行业
H30057,AMAC矿物
930746,港中小企
932085,全指通信行业
931186,中证科技
932368,800现金流
931235,中证电信
931409,SHS创新药
SHHKSI,沪港精明
H30373,百发100
H11140,香港红利
H30531,精工制造
931406,5G 50
950253,国新科创国企
931372,浙江国资
950161,科创新药
950333,智选创新价值
930792,HK银行
H50042,上红价值
932365,中证现金流
932052,央企科技创新
931755,SEEE碳中和
931381,中证长三角
H50040,上红低波
930937,稳健成长
930740,300红利低波
H30270,红利价值
931132,诚通央企红利
931069,中金300
950092,上证180优选
931446,东证红利低波
932087,集成电路
932056,海洋经济
950180,科创AI
931842,半导体15USD
931404,SHS品牌消费50
H11153,内地国有
H50030,沪公用红
CESCPD,中华内房股
931526,企业核心竞争力50
931243,诚通央企ESG
H11047,AMAC地产
H11043,AMAC交运
931793,半导体15
931743,半导体材料设备
H11120,香港中盘精选
H30171,运输指数
H30007,芯片产业
930713,CS人工智
CES280,中华280
H30404,300日报酬反向
931078,中证转债及可交换债
931586,300价值稳健
930851,云计算
931258,东证价值
H30535,互联网
H50021,沪能源红
H30083,300反向
H30269,红利低波
930902,中证数据
H30184,半导体
H30042,AMAC食品
931696,科技50策略
932258,亚洲新兴市场科技USD
931865,中证半导
932419,国新国企航空航天
H30537,淘金100
H30362,基本300
H11143,港股通内地地产
931477,华夏银行ESG
932042,智选航空科技
931840,大盘蓝筹25USD
931228,亚洲新兴市场科技
931476,ESG 120策略
930738,四川国改
H30356,800价值
931790,中韩半导体
931133,经济蓝筹
950125,科创半导体材料设备
931848,800红利低波
931088,180 ESG
950090,50AH优选
932308,红利200
931687,证券时报价值100
990001,中华半导体芯片
930927,CR基石
931791,大盘蓝筹25
931589,300成长创新
930716,CS物流
H50031,沪绿色城
931159,创新100
H00012,国债指数(净)
H30054,AMAC医药
H11110,香港F50
H30463,沪港深500医药
H11080,HGSZ AAA
H30124,安中动态
931167,先进制造100
H11085,HGSZ 5-7
H30252,500工业
931087,科技龙头
H11084,HGSZ 3-5
H11082,HGSZ AA
H11081,HGSZ AA+
H11083,HGSZ 1-3
H30066,AMAC电子
931554,长江保护
931023,北京50
H11086,HGSZ7-10
931598,中银证券300 ESG
931071,人工智能
931788,中韩50
H50046,180反向
H00013,企债指数(净)
950106,上证创新
931066,军工龙头
930782,500SNLV
H50047,180反两
930917,SHS高股息
931522,央企新动能
H30055,AMAC化纤
